Sort,Field Name,Field Alias,Type,Length,Relevant Layer,Metric Type,Version,Version Date
1,OBJECTID,OBJECTID,Integer,4,n/a,n/a,1.19.0,March 2023
2,Shape,Shape,Geometry,n/a,n/a,n/a,1.19.0,March 2023
3,Shape_Length,Shape_Length,Double,8,n/a,n/a,1.19.0,March 2023
4,Shape_Area,Shape_Area,Double,8,n/a,n/a,1.19.0,March 2023
5,STATE,State Name,String,250,All,n/a,1.19.0,March 2023
6,STATEABBRV,State Name Abbreviation,String,20,All,n/a,1.19.0,March 2023
7,STATEFIPS,State FIPS Code,String,20,All,n/a,1.19.0,March 2023
8,COUNTY,County Name,String,250,All,n/a,1.19.0,March 2023
9,COUNTYTYPE,County Type,String,250,All,n/a,1.19.0,March 2023
10,COUNTYFIPS,County FIPS Code,String,20,All,n/a,1.19.0,March 2023
11,STCOFIPS,State-County FIPS Code,String,20,All,n/a,1.19.0,March 2023
12,TRACT,Census Tract,String,20,All,n/a,1.19.0,March 2023
13,TRACTFIPS,Census Tract FIPS Code,String,20,All,n/a,1.19.0,March 2023
14,NRI_ID,National Risk Index ID,String,20,All,n/a,1.19.0,March 2023
15,POPULATION,Population (2020),Integer,4,All,n/a,1.19.0,March 2023
16,BUILDVALUE,Building Value ($),Double,8,All,n/a,1.19.0,March 2023
17,AGRIVALUE,Agriculture Value ($),Double,8,All,n/a,1.19.0,March 2023
18,AREA,Area (sq mi),Double,8,All,n/a,1.19.0,March 2023
19,RISK_VALUE,National Risk Index - Value - Composite,Double,8,National Risk Index,Value,1.19.0,March 2023
20,RISK_SCORE,National Risk Index - Score - Composite,Double,8,National Risk Index,Score,1.19.0,March 2023
21,RISK_RATNG,National Risk Index - Rating - Composite,String,50,National Risk Index,Rating,1.19.0,March 2023
22,RISK_SPCTL,National Risk Index - State Percentile - Composite,Double,8,National Risk Index,State Percentile,1.19.0,March 2023
23,EAL_SCORE,Expected Annual Loss - Score - Composite,Double,8,Expected Annual Loss,Score,1.19.0,March 2023
24,EAL_RATNG,Expected Annual Loss - Rating - Composite,String,50,Expected Annual Loss,Rating,1.19.0,March 2023
25,EAL_SPCTL,Expected Annual Loss - State Percentile - Composite,Double,8,Expected Annual Loss,State Percentile,1.19.0,March 2023
26,EAL_VALT,Expected Annual Loss - Total - Composite,Double,8,Expected Annual Loss,Value,1.19.0,March 2023
27,EAL_VALB,Expected Annual Loss - Building Value - Composite,Double,8,Expected Annual Loss,Value,1.19.0,March 2023
28,EAL_VALP,Expected Annual Loss - Population - Composite,Double,8,Expected Annual Loss,Value,1.19.0,March 2023
29,EAL_VALPE,Expected Annual Loss - Population Equivalence - Composite,Double,8,Expected Annual Loss,Value,1.19.0,March 2023
30,EAL_VALA,Expected Annual Loss - Agriculture Value - Composite,Double,8,Expected Annual Loss,Value,1.19.0,March 2023
31,ALR_VALB,Expected Annual Loss Rate - Building - Composite,Double,8,Expected Annual Loss Rate,Value,1.19.0,March 2023
32,ALR_VALP,Expected Annual Loss Rate - Population - Composite,Double,8,Expected Annual Loss Rate,Value,1.19.0,March 2023
33,ALR_VALA,Expected Annual Loss Rate - Agriculture - Composite,Double,8,Expected Annual Loss Rate,Value,1.19.0,March 2023
34,ALR_NPCTL,Expected Annual Loss Rate - National Percentile - Composite,Double,8,Expected Annual Loss Rate,National Percentile,1.19.0,March 2023
